index,build,test_index,GEN_RATE,TIME,processed_pkts,dropped_pkts,run_index
93,Link speed,25,20000,5.0,36826564.0,2708810.0,1
94,Link speed,25,20000,5.0,36410814.0,2774797.0,2
95,Link speed,25,20000,5.0,37141162.0,2752707.0,3
96,Link speed,25,20000,5.0,37099509.0,2748974.0,4
97,Link speed,25,20000,5.0,37356993.0,2730525.0,5
98,Link speed,25,20000,5.0,37466413.0,2779136.0,6
99,Link speed,26,20000,6.0,43350625.0,2638242.0,0
100,Link speed,26,20000,6.0,43517671.0,2708810.0,1
101,Link speed,26,20000,6.0,43096806.0,2774797.0,2
102,Link speed,26,20000,6.0,43588846.0,2752707.0,3
103,Link speed,26,20000,6.0,43423309.0,2748974.0,4
104,Link speed,26,20000,6.0,43972855.0,2730525.0,5
105,Link speed,26,20000,6.0,43338873.0,2779136.0,6
106,Link speed,27,20000,7.0,49645371.0,2638242.0,0
107,Link speed,27,20000,7.0,50094722.0,2708810.0,1
108,Link speed,27,20000,7.0,49039744.0,2774797.0,2
109,Link speed,27,20000,7.0,50399678.0,2752707.0,3
110,Link speed,27,20000,7.0,49586306.0,2748974.0,4
111,Link speed,27,20000,7.0,50107207.0,2730525.0,5
112,Link speed,27,20000,7.0,49728659.0,2779136.0,6
113,Link speed,28,20000,8.0,56289890.0,2708810.0,0
114,Link speed,28,20000,8.0,56939331.0,2752707.0,1
115,Link speed,28,20000,8.0,55890556.0,2748974.0,2
116,Link speed,28,20000,8.0,55656597.0,2779136.0,3
117,Link speed,29,20000,8.1,56154696.0,2638242.0,0
118,Link speed,29,20000,8.1,55629383.0,2774797.0,1
119,Link speed,29,20000,8.1,56546789.0,2730525.0,2
120,Link speed,30,20000,9.1,62686778.0,2638242.0,0
121,Link speed,30,20000,9.1,62189451.0,2708810.0,1
122,Link speed,30,20000,9.1,62406946.0,2774797.0,2
123,Link speed,30,20000,9.1,63497800.0,2752707.0,3
124,Link speed,30,20000,9.1,62384537.0,2748974.0,4
125,Link speed,30,20000,9.1,63258147.0,2730525.0,5
126,Link speed,30,20000,9.1,62494324.0,2779136.0,6
127,Link speed,31,20000,10.1,69205008.0,2638242.0,0
128,Link speed,31,20000,10.1,68826872.0,2708810.0,1
129,Link speed,31,20000,10.1,69336388.0,2774797.0,2
130,Link speed,31,20000,10.1,69893769.0,2752707.0,3
131,Link speed,31,20000,10.1,68684681.0,2748974.0,4
132,Link speed,31,20000,10.1,69792959.0,2730525.0,5
133,Link speed,31,20000,10.1,69456900.0,2779136.0,6
134,Link speed,32,20000,11.1,75308134.0,2638242.0,0
135,Link speed,32,20000,11.1,75281076.0,2708810.0,1
136,Link speed,32,20000,11.1,76180173.0,2774797.0,2
137,Link speed,32,20000,11.1,75872338.0,2752707.0,3
138,Link speed,32,20000,11.1,75259511.0,2748974.0,4
139,Link speed,32,20000,11.1,75897987.0,2730525.0,5
140,Link speed,32,20000,11.1,76005738.0,2779136.0,6
141,Link speed,33,20000,12.1,81958481.0,2638242.0,0
142,Link speed,33,20000,12.1,81475590.0,2708810.0,1
143,Link speed,33,20000,12.1,82606917.0,2774797.0,2
144,Link speed,33,20000,12.1,82497187.0,2752707.0,3
145,Link speed,33,20000,12.1,81795171.0,2748974.0,4
146,Link speed,33,20000,12.1,82786555.0,2730525.0,5
147,Link speed,33,20000,12.1,82695963.0,2779136.0,6
148,Link speed,34,20000,13.1,88933125.0,2638242.0,0
149,Link speed,34,20000,13.1,87546379.0,2708810.0,1
150,Link speed,34,20000,13.1,89268863.0,2774797.0,2
151,Link speed,34,20000,13.1,89415412.0,2752707.0,3
152,Link speed,34,20000,13.1,88859031.0,2748974.0,4
153,Link speed,34,20000,13.1,89475016.0,2730525.0,5
154,Link speed,34,20000,13.1,89356358.0,2779136.0,6
155,Link speed,35,20000,14.1,95829244.0,2638242.0,0
156,Link speed,35,20000,14.1,93851499.0,2708810.0,1
157,Link speed,35,20000,14.1,95296977.0,2774797.0,2
158,Link speed,35,20000,14.1,96068547.0,2752707.0,3
159,Link speed,35,20000,14.1,95145802.0,2748974.0,4
160,Link speed,35,20000,14.1,95973506.0,2730525.0,5
161,Link speed,35,20000,14.1,96074575.0,2779136.0,6
162,Link speed,36,20000,15.1,102159732.0,2638242.0,0
163,Link speed,36,20000,15.1,100390548.0,2708810.0,1
164,Link speed,36,20000,15.1,101971290.0,2774797.0,2
165,Link speed,36,20000,15.1,102778367.0,2752707.0,3
166,Link speed,36,20000,15.1,101525292.0,2748974.0,4
167,Link speed,36,20000,15.1,102805768.0,2730525.0,5
168,Link speed,36,20000,15.1,102463688.0,2779136.0,6
169,Link speed,37,20000,16.1,108692896.0,2638242.0,0
170,Link speed,37,20000,16.1,107392545.0,2708810.0,1
171,Link speed,37,20000,16.1,108571673.0,2774797.0,2
172,Link speed,37,20000,16.1,109473317.0,2752707.0,3
173,Link speed,37,20000,16.1,108092865.0,2748974.0,4
174,Link speed,37,20000,16.1,109424882.0,2730525.0,5
175,Link speed,37,20000,16.1,108563079.0,2779136.0,6
176,Link speed,38,20000,17.1,115314946.0,2638242.0,0
177,Link speed,38,20000,17.1,114392633.0,2708810.0,1
178,Link speed,38,20000,17.1,115021790.0,2774797.0,2
179,Link speed,38,20000,17.1,116171571.0,2752707.0,3
180,Link speed,38,20000,17.1,114591829.0,2748974.0,4
181,Link speed,38,20000,17.1,116113218.0,2730525.0,5
182,Link speed,38,20000,17.1,115187129.0,2779136.0,6
183,Link speed,39,20000,18.1,121742128.0,2638242.0,0
184,Link speed,39,20000,18.1,120828184.0,2708810.0,1
185,Link speed,39,20000,18.1,121246963.0,2774797.0,2
186,Link speed,39,20000,18.1,122862835.0,2752707.0,3
187,Link speed,39,20000,18.1,121278832.0,2748974.0,4
188,Link speed,39,20000,18.1,122871470.0,2730525.0,5
189,Link speed,39,20000,18.1,121764986.0,2779136.0,6
190,Link speed,40,30000,0.0,8662697.0,3834993.0,0
191,Link speed,40,30000,0.0,8647997.0,3793745.0,1
192,Link speed,40,30000,0.0,8556467.0,3832867.0,2
193,Link speed,41,30000,1.0,17304565.0,3834993.0,0
194,Link speed,41,30000,1.0,17256191.0,3793745.0,1
195,Link speed,41,30000,1.0,17177921.0,3832867.0,2
196,Link speed,42,30000,2.0,25923528.0,3834993.0,0
197,Link speed,42,30000,2.0,25819862.0,3793745.0,1
198,Link speed,42,30000,2.0,25829794.0,3832867.0,2
199,Link speed,43,30000,3.0,34619632.0,3834993.0,0
200,Link speed,43,30000,3.0,34415861.0,3793745.0,1
201,Link speed,43,30000,3.0,34366596.0,3832867.0,2
202,Link speed,44,30000,4.0,43277772.0,3834993.0,0
203,Link speed,44,30000,4.0,42877965.0,3793745.0,1
204,Link speed,44,30000,4.0,42962570.0,3832867.0,2
205,Link speed,45,30000,5.0,51967176.0,3834993.0,0
206,Link speed,45,30000,5.0,51418938.0,3793745.0,1
207,Link speed,45,30000,5.0,51553621.0,3832867.0,2
208,Link speed,46,30000,6.0,60557141.0,3834993.0,0
209,Link speed,46,30000,6.0,60022855.0,3793745.0,1
210,Link speed,46,30000,6.0,60103311.0,3832867.0,2
211,Link speed,47,30000,7.0,69022100.0,3834993.0,0
212,Link speed,47,30000,7.0,68595591.0,3793745.0,1
213,Link speed,47,30000,7.0,68708603.0,3832867.0,2
214,Link speed,48,30000,8.0,77582688.0,3834993.0,0
215,Link speed,48,30000,8.0,77159130.0,3793745.0,1
216,Link speed,48,30000,8.0,77268486.0,3832867.0,2
217,Link speed,49,30000,9.1,86165160.0,3834993.0,0
218,Link speed,49,30000,9.1,85669649.0,3793745.0,1
219,Link speed,49,30000,9.1,85772529.0,3832867.0,2
220,Link speed,50,30000,10.1,94744921.0,3834993.0,0
221,Link speed,50,30000,10.1,94209650.0,3793745.0,1
222,Link speed,50,30000,10.1,94289430.0,3832867.0,2
223,Link speed,51,30000,11.1,103383272.0,3834993.0,0
224,Link speed,51,30000,11.1,102822365.0,3793745.0,1
225,Link speed,51,30000,11.1,102912183.0,3832867.0,2
226,Link speed,52,30000,12.1,111881303.0,3834993.0,0
227,Link speed,52,30000,12.1,111449992.0,3793745.0,1
228,Link speed,52,30000,12.1,111343514.0,3832867.0,2
229,Link speed,53,30000,13.1,120487546.0,3834993.0,0
230,Link speed,53,30000,13.1,120067880.0,3793745.0,1
231,Link speed,53,30000,13.1,119897023.0,3832867.0,2
232,Link speed,54,30000,14.1,129082758.0,3834993.0,0
233,Link speed,54,30000,14.1,128770621.0,3793745.0,1
234,Link speed,54,30000,14.1,128525981.0,3832867.0,2
235,Link speed,55,30000,15.1,137595627.0,3834993.0,0
236,Link speed,55,30000,15.1,137419379.0,3793745.0,1
237,Link speed,55,30000,15.1,137086642.0,3832867.0,2
238,Link speed,56,30000,16.1,146167752.0,3834993.0,0
239,Link speed,56,30000,16.1,145974297.0,3793745.0,1
240,Link speed,56,30000,16.1,145685221.0,3832867.0,2
241,Link speed,57,30000,17.1,154814074.0,3834993.0,0
242,Link speed,57,30000,17.1,154612416.0,3793745.0,1
243,Link speed,57,30000,17.1,154284888.0,3832867.0,2
244,Link speed,58,30000,18.1,163495857.0,3834993.0,0
245,Link speed,58,30000,18.1,163234977.0,3793745.0,1
246,Link speed,58,30000,18.1,162972418.0,3832867.0,2
